group                      , name                         , kind       , data_gen      , n_samples, n_features, algorithm, metric     , min_samples, min_cluster_size, knn_k, k_graph, density, n_repeats, elapsed_sec, peak_mem_bytes, peak_mem_MB, mst_n_edges, mst_n_inf_edges, mst_total_weight    , mst_max_weight     , core_dist_mean     , neighbors_shape, n_clusters, n_noise, noise_fraction, graph_nnz, graph_density, all_timings_sec                  , timing_std_sec, error
scaling_euclidean          , boruvka_n200                 , hdbscan    , blobs         ,       200,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.002023,          44855,        0.04,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n200          , hdbscan    , blobs         ,       200,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.002018,         216960,        0.22,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n500                 , hdbscan    , blobs         ,       500,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.002854,         103951,        0.1 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n500          , hdbscan    , blobs         ,       500,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.002737,         533400,        0.53,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n1000                , hdbscan    , blobs         ,      1000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.005179,         202119,        0.2 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n1000         , hdbscan    , blobs         ,      1000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.004557,        1061016,        1.06,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n2000                , hdbscan    , blobs         ,      2000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.008367,         398471,        0.4 ,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n2000         , hdbscan    , blobs         ,      2000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.006876,        2116248,        2.12,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n5000                , hdbscan    , blobs         ,      5000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.024314,         986071,        0.99,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n5000         , hdbscan    , blobs         ,      5000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.02097 ,        5278712,        5.28,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n10000               , hdbscan    , blobs         ,     10000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.070699,        1962999,        1.96,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n10000        , hdbscan    , blobs         ,     10000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.042831,       10551640,       10.55,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n25000               , hdbscan    , blobs         ,     25000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.218976,        4889215,        4.89,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n25000        , hdbscan    , blobs         ,     25000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.144333,       26409158,       26.41,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n50000               , hdbscan    , blobs         ,     50000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.553399,        9753239,        9.75,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n50000        , hdbscan    , blobs         ,     50000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.385275,       52812632,       52.81,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , boruvka_n100000              , hdbscan    , blobs         ,    100000,         10, boruvka  , euclidean  ,           5,               15,      ,        ,        ,          ,    1.637021,       19460829,       19.46,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_knn_20_n100000       , hdbscan    , blobs         ,    100000,         10, kruskal  , euclidean  ,           5,               15,    20,        ,        ,          ,    0.931794,      105619430,      105.62,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n200           , hdbscan    , blobs         ,       200,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.004938,        1329207,        1.33,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
scaling_euclidean          , kruskal_brute_n500           , hdbscan    , blobs         ,       500,         10, kruskal  , euclidean  ,           5,               15,      ,        ,        ,          ,    0.018143,        8113693,        8.11,            ,                ,                     ,                    ,                    ,                ,         10,       0,         0.0   ,          ,              ,                                  ,               , 
